Surrogate code,Study Area,XRF_Setting,Sample_Type,Source_Zone,Source_Specific,Sample_ID,Rb_ppm,Sr_ppm,Y_ppm,Zr_ppm,Nb_ppm,Si_ppm,Ti_ppm,Al_ppm,Fe_ppm,Mn_ppm,Mg_ppm,Ca_ppm,Na_ppm,K_ppm,Bag_Info
Suco201470,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_3,135.8,38.1,35.5,171.3,10.7,,,,,,,,,,
Suco201471,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_30,149.8,43.5,42.4,185.3,13.0,,,,,,,,,,
Suco201472,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_31,138.4,39.7,39.4,167.5,9.8,,,,,,,,,,
Suco201473,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_32,152.5,39.9,36.3,160.9,12.5,,,,,,,,,,
Suco201474,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_33,154.1,43.9,41.9,174.4,13.0,,,,,,,,,,
Suco201475,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_34,164.8,43.7,39.3,174.2,9.4,,,,,,,,,,
Suco201476,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_35,143.0,36.8,41.9,145.2,11.1,,,,,,,,,,
Suco201477,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_36,118.6,35.7,44.5,137.9,6.7,,,,,,,,,,
Suco201478,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_4,144.6,35.6,29.5,148.4,12.5,,,,,,,,,,
Suco201479,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_5,141.8,39.6,37.3,166.2,10.1,,,,,,,,,,
Suco201480,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_6,132.5,36.6,33.6,148.6,8.5,,,,,,,,,,
Suco201481,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_7,140.2,33.6,37.0,156.3,10.6,,,,,,,,,,
Suco201482,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_8,129.1,34.4,33.8,157.7,12.0,,,,,,,,,,
Suco201483,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_9,129.0,38.7,39.3,161.3,11.4,,,,,,,,,,
Suco201484,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_20_1,149.4,37.1,34.0,156.5,13.1,,,,,,,,,,
Suco201485,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_20_2,148.7,37.5,37.2,165.2,10.3,,,,,,,,,,
Suco201486,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_20_3,134.5,38.0,38.1,161.2,11.7,,,,,,,,,,
Suco201487,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_1,141.4,37.5,33.6,165.3,11.0,,,,,,,,,,
Suco201488,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_10,110.4,48.3,31.6,171.3,7.1,,,,,,,,,,
Suco201489,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_11,150.1,33.1,37.1,164.4,13.3,,,,,,,,,,
Suco201490,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_12,157.1,41.7,35.1,163.6,8.7,,,,,,,,,,
Suco201491,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_13,126.4,34.3,32.6,156.0,12.7,,,,,,,,,,
Suco201492,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_14,132.3,35.7,32.7,144.4,10.2,,,,,,,,,,
Suco201493,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_15,141.2,31.8,38.0,164.1,13.4,,,,,,,,,,
Suco201494,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_16,133.1,38.7,31.8,159.5,10.5,,,,,,,,,,
Suco201495,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_17,139.2,39.4,32.6,155.0,12.9,,,,,,,,,,
Suco201496,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_18,130.3,37.2,37.1,158.0,8.5,,,,,,,,,,
Suco201497,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_19,144.3,38.0,36.9,200.4,9.4,,,,,,,,,,
Suco201498,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_2,133.3,36.2,31.3,147.8,10.2,,,,,,,,,,
Suco201499,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_20,141.7,39.5,36.0,168.4,11.1,,,,,,,,,,
Suco2014100,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_21,135.3,39.5,36.8,168.5,10.7,,,,,,,,,,
Suco2014101,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_22,144.0,41.2,35.7,174.2,15.6,,,,,,,,,,
Suco2014102,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_23,123.0,35.1,34.3,148.3,13.0,,,,,,,,,,
Suco2014103,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_24,130.5,43.4,34.7,152.9,10.6,,,,,,,,,,
Suco2014104,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_25,129.8,35.0,38.7,158.6,11.4,,,,,,,,,,
Suco2014105,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_26,126.0,39.2,32.3,157.7,9.9,,,,,,,,,,
Suco2014106,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_27,147.4,37.4,36.9,173.6,11.5,,,,,,,,,,
Suco2014107,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_28,152.0,36.3,34.1,147.3,10.2,,,,,,,,,,
Suco2014108,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_29,119.0,33.6,35.5,147.9,12.3,,,,,,,,,,
Suco2014109,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_3,132.1,35.2,34.8,150.8,10.1,,,,,,,,,,
Suco2014110,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_30,123.0,34.6,34.1,150.5,10.3,,,,,,,,,,
Suco2014111,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_31,111.6,27.0,32.6,134.8,8.4,,,,,,,,,,
Suco2014112,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_32,127.3,35.9,32.3,152.5,11.0,,,,,,,,,,
Suco2014113,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_33,157.9,44.1,40.5,179.1,12.8,,,,,,,,,,
Suco2014114,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_34,156.1,40.3,41.4,176.6,12.1,,,,,,,,,,
Suco2014115,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_35,148.7,40.0,37.3,167.7,13.0,,,,,,,,,,
Suco2014116,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_36,151.7,36.9,34.4,163.8,13.8,,,,,,,,,,
Suco2014117,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_37,137.1,37.0,32.4,150.9,11.5,,,,,,,,,,
Suco2014118,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_38_1,146.6,39.4,34.2,163.5,12.8,,,,,,,,,,
Suco2014119,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_38_2,139.7,38.4,37.0,153.3,12.4,,,,,,,,,,
Suco2014120,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_39,135.4,35.6,34.4,162.9,14.5,,,,,,,,,,
Suco2014121,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_4,143.5,35.7,35.2,159.4,11.9,,,,,,,,,,
Suco2014122,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_40_1,155.6,44.0,38.9,180.6,12.6,,,,,,,,,,
Suco2014123,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_40_2,140.2,40.5,35.4,163.9,10.1,,,,,,,,,,
Suco2014124,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_41,144.9,35.1,36.8,160.2,15.7,,,,,,,,,,
Suco2014125,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_42,139.4,38.8,33.9,160.4,12.6,,,,,,,,,,
Suco2014126,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_43,144.4,37.3,35.6,168.6,12.2,,,,,,,,,,
Suco2014127,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_44,136.5,39.5,35.7,159.4,12.0,,,,,,,,,,
Suco2014128,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_45,130.6,34.5,35.4,164.8,10.8,,,,,,,,,,
Suco2014129,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_46,142.4,43.7,36.0,172.2,11.9,,,,,,,,,,
Suco2014130,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_47_1,131.6,39.2,33.0,160.6,13.5,,,,,,,,,,
Suco2014131,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_47_2,121.5,35.3,33.4,143.7,12.6,,,,,,,,,,
Suco2014132,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_47_3,137.7,39.1,37.2,170.8,10.2,,,,,,,,,,
Suco2014133,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_47_4,139.6,36.1,33.0,167.6,13.0,,,,,,,,,,
Suco2014134,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_48_1,129.7,34.3,30.9,142.8,13.0,,,,,,,,,,
Suco2014135,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_48_2,130.2,35.3,33.9,155.6,10.3,,,,,,,,,,
Suco2014136,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_49,135.8,36.8,35.7,151.5,9.7,,,,,,,,,,
Suco2014137,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_5,144.5,37.7,38.2,166.4,11.6,,,,,,,,,,
Suco2014138,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_50,137.8,39.9,38.2,166.7,11.8,,,,,,,,,,
Suco2014139,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_51,137.1,34.7,36.4,169.5,12.3,,,,,,,,,,
Suco2014140,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_52,138.6,37.7,40.9,162.9,10.0,,,,,,,,,,
Suco2014141,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_53,136.0,38.6,35.4,165.2,9.6,,,,,,,,,,
Suco2014142,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_54,131.3,37.1,35.6,161.2,11.0,,,,,,,,,,
Suco2014143,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_55,154.6,40.7,37.5,175.3,12.8,,,,,,,,,,
Suco2014144,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_56_1,117.7,32.7,35.7,143.8,9.7,,,,,,,,,,
Suco2014145,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_56_10,136.2,36.0,32.0,160.2,12.1,,,,,,,,,,
Suco2014146,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_56_11,131.1,34.1,35.4,152.3,12.7,,,,,,,,,,
Suco2014147,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_56_12,134.4,34.0,34.8,152.2,10.4,,,,,,,,,,
Suco2014148,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_56_13,139.1,39.1,38.0,164.2,9.4,,,,,,,,,,
Suco2014149,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_56_14,142.0,41.6,38.6,166.9,10.5,,,,,,,,,,
Suco2014150,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_56_15,125.8,33.0,32.2,178.0,13.8,,,,,,,,,,
Suco2014151,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_56_16,133.4,35.7,40.3,159.4,10.3,,,,,,,,,,
Suco2014152,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_56_17,107.3,34.1,40.7,102.7,6.0,,,,,,,,,,
Suco2014153,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_56_2,135.2,39.3,37.8,168.6,10.8,,,,,,,,,,
Suco2014154,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_56_3,113.0,30.4,31.2,134.8,9.2,,,,,,,,,,
